TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;197587033.08;;;SDP;DI1 X PRE
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;264944350.92;;;SDL;DI1 X IAP
FI;11.769.285/0001-46;SPHERE FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;159288975.49;;;SCP;DOL X PRE
FI;12.553.726/0001-30;MÁXIMA FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO 2;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;0.00;;;SCP;DOL X PRE
FI;14.239.657/0001-10;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I MULTIMERCADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;333260.78;;;SDP;DI1 X PRE
FI;15.037.582/0001-58;BB PREV PUBLICO RF FUNDO DE INVESTIMENTO RENDA FIXA;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;133473995.46;;;SDM;DI1 X IGM
FI;15.037.582/0001-58;BB PREV PUBLICO RF FUNDO DE INVESTIMENTO RENDA FIXA;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;42717613.07;;;SFD;IPC X DI1
FI;15.060.253/0001-28;QUARTZ DC PLAN FUNDO DE INVESTIMENTO RENDA FIXA PREVIDENCIÁRIO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3237148.45;;;SDL;DI1 X IAP
FI;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA NILO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;23540615.65;;;SDL;DI1 X IAP
FI;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA NILO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;15828950.74;;;SDL;DI1 X IAP
FI;15.740.377/0001-54;SANTANDER FI DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;82954898.32;;;SDP;DI1 X PRE
FI;15.740.377/0001-54;SANTANDER FI DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6293938.88;;;SDP;DI1 X PRE
FI;16.916.060/0001-99;FUNDO DE INVESTIMENTO CAIXA INDEXA OURO MULTIMERCADO LONGO PRAZO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;457653.83;;;Outros;999 X 999
FI;18.085.913/0001-13;BRAM FUNDO DE INVESTIMENTO RENDA FIXA IMA-B;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;743023.35;;;SDL;DI1 X IAP
FI;18.085.913/0001-13;BRAM FUNDO DE INVESTIMENTO RENDA FIXA IMA-B;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;21625571.00;;;SDL;DI1 X IAP
FI;21.040.600/0001-53;JBFO CORPORATIVO IQ 60 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;20994.33;;;SDL;DI1 X IAP
FI;27.293.764/0001-79;DAYCOVAL EXPERT II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO  INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;40747.44;;;SCP;DOL X PRE
FI;27.293.764/0001-79;DAYCOVAL EXPERT II FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO  INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;5963.04;;;SCP;DOL X PRE
FI;28.077.946/0001-75;PRATA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;Outros;999 X 999
FI;29.045.966/0001-27;JIANG FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;66307486.78;;;Outros;999 X 999
